id,gen_summary,sent,label,lexrank_rank,rouge1_rank,bertscore_rank,attention_rank,perplexity_rank,lexrank,rouge1,bertscore,attention,perplexity
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,Dan Roan is our sports editor and focuses on the major events and news stories.,2,4,5,4,9,8,1.0508478532205485,0.25,0.8471108078956604,0.4585783779621124,-0.015434980392456055
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Tom Fordyce is our chief sports writer who specialises in cricket, rugby, tennis and athletics. His strength is providing the background to major events and the extraordinary people who compete in them.",2,3,9,9,6,2,1.1291292701510987,0.16326530612244897,0.8325625061988831,0.9175817966461182,0.08103525638580322
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Richard Conway is BBC Radio 5 live's sports news correspondent, providing in-depth analysis and coverage across a wide range of sports.",2,0,3,2,2,11,1.4102969649009438,0.35,0.8678616881370544,1.2583551406860352,-0.021786928176879883
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Andy Swiss is a sports new correspondent, he has covered the Olympics and Paralympics and writes regular features on disability sport.",2,2,6,11,12,6,1.176322842482541,0.21052631578947367,0.8198271989822388,0.34179553389549255,0.0008647441864013672
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Phil McNulty is our chief football writer, reporting on the biggest matches and breaking football stories.",2,11,11,6,11,7,0.7596258960321659,0.12121212121212122,0.8452324867248535,0.3922581672668457,-0.011881351470947266
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Dan Walker presents Football Focus but also covers many of the BBC's biggest sporting events, from Wimbledon and the Open to the Six Nations and the Grand National.",2,9,4,5,7,3,0.8706622281701725,0.34782608695652173,0.8460109829902649,0.8419415354728699,0.027344942092895508
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Tim Vickery is our South American football expert, keeping tabs on the next generation of players who will soon be gracing La Liga, Serie A and the Premier League.",2,13,8,7,4,9,0.6944837433882074,0.17391304347826086,0.8332968354225159,1.1563913822174072,-0.019223928451538086
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Andrew Benson has been covering Formula 1 for nearly 20 years, taking in more than 100 grands prix. His contacts within the sport make him the definitive source for all your F1 news.",2,12,7,8,1,13,0.7272759204895226,0.19999999999999998,0.8332286477088928,3.387974262237549,-0.032221198081970215
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,Jonathan Agnew has been a regular on Test Match Special since 1991. The former Leicestershire and England bowler gives his opinion and analysis via his correspondent page.,2,8,10,12,10,12,1.0006334989685264,0.13636363636363638,0.8130977153778076,0.43243199586868286,-0.02665400505065918
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Iain Carter is 5 live's golf correspondent and brings you all the latest from the course, as well as the gossip from the 19th hole.",2,6,2,3,0,4,1.038483030796447,0.41860465116279066,0.8615959882736206,6.612393856048584,0.02561008930206299
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,Russell Fuller is the BBC tennis correspondent and brings all the latest news and analysis from each of the four Grand Slams and the rest of the tour throughout the season.,2,1,1,0,3,1,1.2028347394173506,0.5,0.8871297240257263,1.219699740409851,0.10672438144683838
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,The Rugby Union index pulls together the latest blog offerings from the BBC Sport team and Tom Fordyce.,2,10,0,1,8,0,0.867387900091478,0.5142857142857143,0.8682164549827576,0.8044729232788086,0.3948558568954468
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"George Riley presents 5 live Breakfast's sports bulletins, but on top of that he is our main man covering Rugby League.",2,7,12,10,5,10,1.028633513611065,0.10256410256410256,0.8271624445915222,0.948169469833374,-0.020685195922851562
xsum__train__15555406__pegasus-xsum__0,The BBC Sport team brings you all the latest news and analysis from the world of sport.,"Cornelius Lysaght is our horse racing expert, well known as a correspondent on Radio 5 live.",2,5,13,13,13,5,1.0433825982799165,0.0,0.812174916267395,0.22795599699020386,0.007827997207641602
xsum__validation__17360501__pegasus-xsum__0,Two sisters in China have been making musical instruments out of vegetables.,13 March 2012 Last updated at 18:31 GMT,0,1,5,5,5,3,1.0,0.0,0.7653050422668457,1.252855658531189,0.1511533260345459
xsum__validation__17360501__pegasus-xsum__0,Two sisters in China have been making musical instruments out of vegetables.,Nan Weidong and Nan Weiping have been transforming vegetables into musical instruments for two years.,2,0,0,0,4,0,1.0720179669398575,0.4444444444444445,0.8987679481506348,1.4433337450027466,2.2259926795959473
xsum__validation__17360501__pegasus-xsum__0,Two sisters in China have been making musical instruments out of vegetables.,Their dad was a music teacher and encouraged them to be musical from a young age - but carrot panpipes probably weren't what he had in mind!,2,5,2,4,2,2,0.9506940021308837,0.10256410256410256,0.8538462519645691,2.58970308303833,0.3679087162017822
xsum__validation__17360501__pegasus-xsum__0,Two sisters in China have been making musical instruments out of vegetables.,Weidong says it's important the veg is fresh - otherwise it risks being out of tune.,1,4,1,3,3,4,0.9772880309292507,0.14285714285714288,0.855750560760498,2.0655736923217773,0.028212785720825195
xsum__validation__17360501__pegasus-xsum__0,Two sisters in China have been making musical instruments out of vegetables.,"And no vegetable is too much of a challenge: they've turned a sweet potato into an ocarina, a bamboo shoot has become a flute, and a yam has doubled up as a whistle.",2,2,4,2,0,1,1.0,0.08695652173913045,0.8672292232513428,8.2863130569458,0.39133548736572266
xsum__validation__17360501__pegasus-xsum__0,Two sisters in China have been making musical instruments out of vegetables.,Watch the clip to see them in action!,0,3,3,1,1,5,1.0,0.1,0.8690376281738281,5.3622212409973145,0.006936788558959961
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"The town is home to the prestigious Leander Club, which has trained more than 100 Olympic medal-winning rowers.",2,4,4,3,5,2,1.0397773583780041,0.10810810810810811,0.8543731570243835,1.4014116525650024,0.20754694938659668
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"Prime Minister David Cameron previously said the plan was a ""very good idea"".",0,5,8,6,8,8,1.0,0.06451612903225808,0.8457456827163696,0.6612098813056946,-0.02759420871734619
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"Royal Mail spokesman Simon Fellman said: ""We're delighted to do it and we're pleased so many people are delighted about it.""",1,0,7,10,7,6,1.1285403726797845,0.0975609756097561,0.8388603329658508,1.131173849105835,-0.004912376403808594
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,The Royal Mail has painted more than 50 postboxes gold following Team GB's gold medal haul at London 2012.,2,1,0,1,4,1,1.1267731400805967,0.5263157894736842,0.9228221774101257,1.5740902423858643,0.7467809915542603
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"Originally it said it was only painting them in ""winners' home towns, or towns with which they are closely associated"".",0,9,5,8,6,10,0.8650158425462496,0.10526315789473685,0.8408280611038208,1.352597713470459,-0.06904125213623047
